"Latitude","Longitude","Code de l'entité","Libellé","Surface de bassin versant hydrologique (km²)","Surface de bassin versant topographique (km²)","Débit (m³/s)","Intervalle de confiance","Taille de l'échantillon"
"49.5433947","0.186444","H7330410","La Lézarde à Montivilliers","","116","2.19","0.95","19"
"49.5433947","0.186444","H733041010","La Lézarde à Montivilliers","","116","2.19","0.95","19"
"49.5603974","2.986516","H7401010","L'Oise à Sempigny","","4316","117","0.95","66"
"49.5603974","2.986516","H740101001","L'Oise à Sempigny","","4316","117","0.95","66"
"49.568639","2.9995716","H7403810","La Verse à Noyon [aval]","","147","","0.95","0"
"49.568639","2.9995716","H740381001","La Verse à Noyon [aval] - Fermée","","147","","0.95","0"
"49.5820379","2.9924259","H7403820","La Verse à Noyon","","136","2.66","0.95","13"
"49.5859866","2.9928438","H740382001","La Verse à Noyon","","136","2.66","0.95","13"
"49.4844602","0.0907203","H7403821","Le canal de Tancarville au Havre [canal]","","","","0.95","0"
"49.4844602","0.0907203","H740382101","Le canal de Tancarville au Havre [canal]","","","","0.95","0"
"49.5557915","2.9637375","H7413210","La Divette à Passel","","74","1.49","0.95","52"
"49.5557915","2.9637375","H741321001","La Divette à Passel","","74","1.49","0.95","52"
"49.4676363","2.8908196","H7421010","L'Oise au Plessis-Brion","","4686","","0.95","0"
"49.4676363","2.8908196","H742101001","L'Oise au Plessis-Brion","","4686","","0.95","0"
"49.4419155","2.8460214","H7423710","L'Aronde à Clairoix","","282","2.09","0.95","50"
"49.4417742","2.8458154","H742371001","L'Aronde à Clairoix - Fermée","","282","2.07","0.95","42"
"49.4419155","2.8460213","H742371002","L'Aronde à Clairoix","","282","2.29","0.95","7"
"49.4419283","2.8460376","H742371003","L'Aronde à Clairoix - secours CT","","282","","0.95","0"
"49.473522","2.7780418","H7423730","L'Aronde à Braisnes","","255","","0.95","0"
"49.473522","2.7780418","H742373001","L'Aronde à Braisnes","","255","","0.95","0"
"49.4827995","2.6891221","H7423735","L'Aronde à Gournay-sur-Aronde [Arsonval la féculerie]","","185","0.913","0.95","12"
"49.4827995","2.6891221","H742373501","L'Aronde à Gournay-sur-Aronde [Arsonval la féculerie] - Fermée","","185","","0.95","5"
